item_id,product_name,department_name,price,stock_quantity
1000201001,Elevate Pleated gown,Fashion,119.99,50
1000201002,Mr. Coffee Coffee Maker,Home and Kitchen,105.99,76
1000201003,Tylenol 20mg,Health and household,7.99,30
1000201004,Good Baked Beans,Grocery,4.99,100
1000201005,Nike Running Shoes,Sports and Outdoor,85.99,65
1000201006,Equip Lawn Mower,Tools and Equipment,349.99,15
1000201007,Aloe moisturizing Cream,Beauty and Care,15.99,99
1000201008,HP 16inch Laptop,Computer and Electronics,459.99,25
1000201009,Nokia Science Calculator,Industrial and Scientific,129.99,40
1000201010,GE Electric Oven,Appliances,799.99,37
